// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B47796
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
48183		5.898859	0.309452	7.695637	-0.015945	0.029592	-0.111450	0.000721	0.005462	0.001764	-0.868896	-0.047363	-0.505615	0.058991	0.003095	0.076955	-0.030082	-0.320639	-0.008215	-0.946688	2.512050	-37.343831	175.510915
48184		5.883067	0.291494	7.690418	-0.005498	0.046636	-0.125801	0.004606	0.005836	-0.001345	-0.870361	-0.040771	-0.501465	0.058833	0.002913	0.076903	-0.030101	-0.320647	-0.008226	-0.946685	2.514562	-37.344659	175.507722
48185		5.859246	0.304914	7.712315	0.026219	0.031675	-0.122391	0.002318	0.004055	0.004081	-0.865967	-0.047119	-0.503906	0.058594	0.003049	0.077122	-0.030101	-0.320662	-0.008213	-0.946679	2.512848	-37.346569	175.508278
48186		5.899980	0.346779	7.676317	-0.029866	-0.007675	-0.124813	0.001694	0.005793	0.005360	-0.874756	-0.048584	-0.493896	0.059002	0.003469	0.076761	-0.030093	-0.320670	-0.008200	-0.946677	2.510764	-37.347590	175.509912
48187		5.897333	0.309421	7.696808	-0.013140	0.028914	-0.111444	-0.000273	0.003806	0.006154	-0.864258	-0.040283	-0.506592	0.058975	0.003096	0.076967	-0.030091	-0.320688	-0.008171	-0.946672	2.506816	-37.349824	175.511433
48188		5.899821	0.274685	7.693664	-0.015068	0.063134	-0.113637	-0.001520	0.007281	0.008712	-0.870117	-0.037598	-0.494629	0.059001	0.002750	0.076934	-0.030072	-0.320688	-0.008137	-0.946672	2.501397	-37.350077	175.515527
48189		5.870976	0.274880	7.662707	-0.010919	0.060477	-0.155709	-0.002367	0.004385	0.006032	-0.871094	-0.043945	-0.503418	0.058711	0.002751	0.076626	-0.030065	-0.320701	-0.008099	-0.946668	2.495972	-37.351887	175.518156
48190		5.875362	0.286956	7.716084	0.017359	0.048005	-0.110236	0.002415	0.011253	0.007125	-0.867676	-0.038086	-0.502197	0.058758	0.002871	0.077158	-0.030047	-0.320683	-0.008088	-0.946675	2.493424	-37.349827	175.521232
48191		5.892868	0.270535	7.718738	0.005678	0.064957	-0.098072	0.001245	0.008562	0.009078	-0.860840	-0.049072	-0.503662	0.058932	0.002708	0.077185	-0.030022	-0.320677	-0.008062	-0.946678	2.488733	-37.349297	175.525900
48192		5.879018	0.289214	7.693600	0.000093	0.045222	-0.125793	0.002113	0.012783	0.003772	-0.864502	-0.051270	-0.502686	0.058795	0.002892	0.076932	-0.030021	-0.320652	-0.008055	-0.946687	2.487449	-37.346277	175.526609
