// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4778F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
39926		9.139856	0.937910	2.469249	0.114742	1.058256	-0.358548	-0.175022	-0.082347	0.080681	-0.806885	-0.258789	-0.690674	0.091385	0.009438	0.024722	-0.786729	-0.152511	0.561161	-0.207114	1.331120	-71.109274	28.546684
39927		9.083601	0.896482	2.415616	0.150612	1.045467	-0.429991	-0.212961	-0.108695	0.083405	-0.812744	-0.261230	-0.691650	0.090819	0.009028	0.024196	-0.786495	-0.151561	0.561880	-0.206748	1.077616	-71.173910	28.685455
39928		9.029142	0.857863	2.317975	0.219847	1.055568	-0.513668	-0.242068	-0.129719	0.081493	-0.815430	-0.251709	-0.697021	0.090273	0.008644	0.023228	-0.786225	-0.150525	0.562710	-0.206276	0.810318	-71.250472	28.821125
39929		9.093946	0.771403	2.530169	0.089432	0.897598	-0.384911	-0.269043	-0.144095	0.097331	-0.810303	-0.247559	-0.684082	0.090917	0.007792	0.025357	-0.785917	-0.149351	0.563634	-0.205779	0.498837	-71.335047	28.987057
39930		9.162397	0.720324	2.700448	-0.026614	0.791295	-0.266280	-0.282093	-0.179987	0.098872	-0.818359	-0.251953	-0.689209	0.091596	0.007287	0.027077	-0.785514	-0.148155	0.564714	-0.205220	0.175329	-71.440029	29.157156
39931		9.343184	0.681756	2.856391	-0.110948	0.719133	-0.045942	-0.277142	-0.233255	0.109519	-0.817627	-0.250732	-0.686768	0.093395	0.006908	0.028663	-0.784943	-0.147006	0.566003	-0.204681	-0.166480	-71.575081	29.349966
39932		9.625516	0.517445	2.800507	0.063662	0.649800	0.204037	-0.292951	-0.267202	0.114256	-0.818359	-0.245361	-0.691162	0.096215	0.005271	0.028126	-0.784279	-0.145817	0.567443	-0.204090	-0.529249	-71.729392	29.555366
39933		9.943303	0.189949	2.614183	0.433080	0.502180	0.448867	-0.304061	-0.244686	0.101192	-0.826660	-0.235352	-0.687500	0.099400	0.001990	0.026260	-0.783697	-0.144597	0.568793	-0.203432	-0.880436	-71.870284	29.741486
39934		10.079367	-0.071333	2.558204	0.615214	0.323487	0.563244	-0.290571	-0.188733	0.076064	-0.814697	-0.231934	-0.687744	0.100770	-0.000638	0.025678	-0.783289	-0.143441	0.569891	-0.202750	-1.181616	-71.979164	29.882532
39935		10.003894	-0.311646	2.586657	0.663717	0.090255	0.503179	-0.267861	-0.170206	0.043178	-0.822266	-0.234375	-0.680664	0.100018	-0.003060	0.025956	-0.782947	-0.142450	0.570868	-0.202020	-1.413526	-72.077537	29.964820
