// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B47793
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
47777		5.647147	-1.466301	7.949836	-0.014308	0.031726	0.048296	0.004138	0.000239	-0.007435	-0.770996	0.468018	-0.598389	0.056471	-0.014667	0.079498	0.365140	-0.308161	-0.045379	-0.877297	-10.228120	-35.018218	-131.570389
47778		5.616910	-1.508093	7.965336	-0.018191	0.085394	0.049512	0.005943	0.000647	-0.010391	-0.771973	0.470947	-0.608398	0.056169	-0.015086	0.079653	0.365136	-0.308147	-0.045387	-0.877304	-10.226006	-35.017087	-131.571945
47779		5.673848	-1.461416	7.971956	-0.014805	0.018427	0.080735	0.005398	-0.000242	-0.006656	-0.766113	0.459961	-0.604004	0.056738	-0.014618	0.079719	0.365173	-0.308136	-0.045396	-0.877291	-10.225943	-35.015969	-131.567322
47780		5.607519	-1.451969	7.942389	0.012313	0.043102	0.017471	0.006674	0.000744	-0.008091	-0.771729	0.465088	-0.604736	0.056075	-0.014525	0.079423	0.365180	-0.308120	-0.045403	-0.877293	-10.224312	-35.014550	-131.567306
47781		5.615249	-1.462962	7.962240	0.010441	0.052613	0.039504	0.009521	-0.001468	-0.011876	-0.767090	0.463867	-0.607422	0.056151	-0.014637	0.079622	0.365198	-0.308107	-0.045439	-0.877289	-10.219898	-35.014653	-131.566488
47782		5.634810	-1.478837	7.914164	-0.035537	0.037856	0.014283	0.008447	-0.001779	-0.006619	-0.769531	0.465576	-0.610107	0.056347	-0.014794	0.079142	0.365214	-0.308099	-0.045457	-0.877284	-10.218012	-35.014506	-131.565145
47783		5.640585	-1.447844	7.930526	-0.009865	0.016882	0.026282	0.005726	-0.001492	-0.011996	-0.767822	0.456787	-0.609863	0.056404	-0.014484	0.079305	0.365228	-0.308092	-0.045478	-0.877279	-10.215732	-35.014629	-131.564044
47784		5.616054	-1.459546	7.962300	0.011535	0.050353	0.039514	0.006457	-0.001395	-0.009696	-0.769531	0.465820	-0.601807	0.056159	-0.014601	0.079623	0.365227	-0.308086	-0.045491	-0.877281	-10.213744	-35.014579	-131.564866
47785		5.654159	-1.427994	7.966653	0.013940	0.005446	0.060307	0.005197	-0.000914	-0.010475	-0.767334	0.461670	-0.606689	0.056540	-0.014285	0.079666	0.365245	-0.308078	-0.045505	-0.877276	-10.212322	-35.014227	-131.563195
47786		5.641311	-1.444723	7.930579	-0.008766	0.014623	0.026286	0.007188	-0.001297	-0.007397	-0.766602	0.466064	-0.610840	0.056412	-0.014452	0.079306	0.365255	-0.308070	-0.045517	-0.877274	-10.210817	-35.013888	-131.562446
47787		5.649038	-1.456011	7.950384	-0.010633	0.024119	0.048322	0.005399	-0.000239	-0.006654	-0.761963	0.462402	-0.606689	0.056490	-0.014564	0.079504	0.365293	-0.308060	-0.045526	-0.877261	-10.210745	-35.012761	-131.557804
47788		5.643683	-1.484783	7.934155	-0.035582	0.043568	0.036343	0.010268	0.000099	-0.011787	-0.763916	0.466064	-0.602539	0.056436	-0.014855	0.079341	0.365289	-0.308040	-0.045556	-0.877269	-10.205642	-35.012080	-131.560251
47789		5.617056	-1.454150	7.962580	0.013365	0.046546	0.039531	0.006987	-0.001971	-0.011215	-0.764404	0.456543	-0.614502	0.056169	-0.014547	0.079626	0.365310	-0.308033	-0.045582	-0.877261	-10.202986	-35.012392	-131.558383
47790		5.638425	-1.479853	7.968116	-0.012798	0.054190	0.059980	0.006972	-0.003436	-0.009001	-0.769775	0.456055	-0.606445	0.056382	-0.014804	0.079682	0.365312	-0.308035	-0.045600	-0.877258	-10.201123	-35.013422	-131.558474
47791		5.631198	-1.466588	7.948314	-0.010193	0.043150	0.037947	0.007718	-0.001872	-0.008915	-0.765381	0.468018	-0.604736	0.056311	-0.014671	0.079483	0.365339	-0.308027	-0.045624	-0.877249	-10.198932	-35.013450	-131.555775
