// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B4778F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
02229		9.288138	0.073955	3.170409	-0.009530	0.025786	0.001879	-0.002809	-0.007301	0.000007	-0.823242	-0.241211	-0.713623	0.092880	0.000740	0.031707	0.789671	0.142400	-0.563965	0.195152	0.847132	-71.133407	27.157034
02230		9.254235	0.071758	3.164691	-0.014017	0.020878	-0.032061	-0.004139	-0.002126	-0.001526	-0.821777	-0.247559	-0.711426	0.092542	0.000718	0.031648	0.789666	0.142396	-0.563986	0.195115	0.851706	-71.136081	27.148832
02231		9.279852	0.048625	3.122131	0.039434	0.022676	-0.021689	-0.002164	-0.002966	-0.001273	-0.815918	-0.245117	-0.703613	0.092798	0.000486	0.031223	0.789657	0.142401	-0.564008	0.195085	0.857355	-71.139231	27.140975
02232		9.289827	0.040120	3.174714	0.002006	-0.007517	0.004708	-0.002654	-0.005555	-0.005866	-0.820801	-0.252930	-0.706055	0.092897	0.000399	0.031750	0.789645	0.142419	-0.564038	0.195033	0.870170	-71.143872	27.125076
02233		9.290057	0.040228	3.174041	0.001901	-0.007862	0.004707	-0.004727	-0.008973	0.001032	-0.822754	-0.249756	-0.711426	0.092899	0.000404	0.031745	0.789619	0.142413	-0.564088	0.195001	0.870643	-71.150483	27.121137
02234		9.290326	0.039895	3.173256	0.001787	-0.008213	0.004707	-0.007918	-0.007979	0.001801	-0.827637	-0.249512	-0.702148	0.092902	0.000401	0.031736	0.789596	0.142394	-0.564138	0.194965	0.868001	-71.156599	27.118887
02235		9.294471	0.035842	3.148768	0.024398	-0.000559	0.000703	-0.011869	-0.006301	0.001295	-0.820557	-0.249268	-0.707764	0.092944	0.000361	0.031491	0.789581	0.142357	-0.564184	0.194916	0.863874	-71.161682	27.115484
02236		9.312262	0.019399	3.153795	0.032381	-0.014775	0.019086	-0.011738	0.000015	0.001036	-0.822754	-0.252441	-0.710205	0.093123	0.000196	0.031538	0.789584	0.142317	-0.564206	0.194873	0.859938	-71.163338	27.112343
02237		9.278239	0.016569	3.148438	0.027904	-0.019693	-0.014857	-0.010676	-0.001887	0.005887	-0.815918	-0.249268	-0.710449	0.092782	0.000170	0.031485	0.789576	0.142268	-0.564237	0.194848	0.848670	-71.165932	27.117209
02238		9.276944	0.050045	3.142996	0.015935	0.012262	-0.017678	-0.010522	-0.000140	0.000014	-0.820313	-0.246338	-0.707764	0.092769	0.000502	0.031430	0.789580	0.142234	-0.564256	0.194802	0.847360	-71.167449	27.111793
02239		9.260578	0.031511	3.143045	0.019580	-0.006517	-0.033239	-0.008302	0.000314	0.002564	-0.821045	-0.254395	-0.704346	0.092606	0.000318	0.031430	0.789580	0.142202	-0.564274	0.194773	0.842978	-71.168754	27.110821
02240		9.278237	0.015140	3.148449	0.027580	-0.020736	-0.014858	-0.009820	0.001685	0.000013	-0.817383	-0.251709	-0.707520	0.092783	0.000153	0.031484	0.789587	0.142171	-0.564286	0.194732	0.841986	-71.169351	27.105729
02241		9.278158	0.015024	3.148683	0.027475	-0.021081	-0.014859	-0.002032	0.003350	-0.001530	-0.820801	-0.252686	-0.705811	0.092782	0.000150	0.031485	0.789596	0.142171	-0.564283	0.194706	0.847998	-71.168881	27.097569
02242		9.295722	-0.000967	3.154363	0.035485	-0.035307	0.003521	-0.001787	0.004644	0.000767	-0.820313	-0.242188	-0.711182	0.092958	-0.000009	0.031541	0.789605	0.142168	-0.564275	0.194693	0.850453	-71.167743	27.093833
02243		9.273993	0.018492	3.173237	0.004544	-0.029781	-0.010860	0.002164	0.002966	0.001273	-0.818848	-0.244873	-0.704834	0.092740	0.000185	0.031731	0.789607	0.142177	-0.564272	0.194690	0.854170	-71.167518	27.090639
02244		9.260203	0.030775	3.144159	0.019018	-0.008235	-0.033239	-0.001919	-0.001672	0.001024	-0.820068	-0.260498	-0.707520	0.092602	0.000309	0.031442	0.789599	0.142173	-0.564291	0.194669	0.855521	-71.169985	27.086995
02245		9.243885	0.012419	3.144057	0.022662	-0.027010	-0.048805	0.000302	-0.001217	0.003575	-0.827393	-0.240234	-0.705811	0.092439	0.000126	0.031441	0.789588	0.142172	-0.564307	0.194666	0.854409	-71.172176	27.087775
02246		9.260304	0.030185	3.143867	0.018786	-0.008931	-0.033239	-0.002376	-0.002204	0.003323	-0.819580	-0.250732	-0.703369	0.092603	0.000304	0.031440	0.789576	0.142165	-0.564330	0.194657	0.852154	-71.175073	27.088550
02247		9.315932	0.012464	3.130717	0.053884	-0.010592	0.015085	0.002410	0.004260	0.003571	-0.823730	-0.253662	-0.708740	0.093160	0.000126	0.031305	0.789579	0.142168	-0.564322	0.194664	0.852119	-71.174126	27.089468
02248		9.340754	0.055382	3.178536	0.000832	0.009913	0.054214	0.002769	0.000531	0.008422	-0.819336	-0.247803	-0.708252	0.093408	0.000557	0.031785	0.789565	0.142166	-0.564332	0.194693	0.844372	-71.175469	27.099346
02249		9.324269	0.036831	3.178921	0.004474	-0.008863	0.038647	0.005790	0.007071	0.003821	-0.823730	-0.250000	-0.705811	0.093244	0.000369	0.031786	0.789573	0.142178	-0.564311	0.194712	0.845784	-71.172914	27.100782
02250		9.271061	0.084386	3.163442	-0.019993	0.032413	-0.016484	-0.000725	0.002741	0.005618	-0.820068	-0.248779	-0.709473	0.092711	0.000847	0.031633	0.789572	0.142165	-0.564314	0.194719	0.840410	-71.172943	27.105621
02251		9.224536	0.059933	3.134444	0.002002	0.017083	-0.069993	-0.006784	-0.001056	0.005116	-0.823486	-0.249268	-0.712891	0.092245	0.000603	0.031345	0.789565	0.142132	-0.564337	0.194703	0.832643	-71.175054	27.109144
02252		9.195823	0.019390	3.110368	0.032109	-0.012113	-0.105126	-0.010868	-0.005694	0.004867	-0.818115	-0.246094	-0.704102	0.091957	0.000198	0.031106	0.789548	0.142088	-0.564383	0.194671	0.822918	-71.179817	27.112222
02253		9.216303	0.033156	3.085948	0.050977	0.013967	-0.093550	-0.008892	-0.006534	0.005120	-0.821045	-0.246338	-0.709961	0.092162	0.000335	0.030862	0.789527	0.142052	-0.564430	0.194645	0.814064	-71.185066	27.115617
02254		9.260327	0.025937	3.143835	0.017898	-0.011681	-0.033241	0.000302	-0.001218	0.003575	-0.813477	-0.246826	-0.707275	0.092603	0.000261	0.031439	0.789516	0.142051	-0.564447	0.194642	0.812639	-71.187307	27.116601
02255		9.289165	0.065623	3.167584	-0.012420	0.016834	0.001895	-0.000759	0.000686	-0.001276	-0.826172	-0.254395	-0.704102	0.092892	0.000656	0.031676	0.789516	0.142059	-0.564453	0.194618	0.819026	-71.188367	27.108818
02256		9.320571	0.037042	3.202145	-0.019031	-0.019273	0.042637	0.001250	0.001901	0.005871	-0.824951	-0.245117	-0.713379	0.093206	0.000373	0.032021	0.789510	0.142055	-0.564457	0.194632	0.814591	-71.188871	27.114111
02257		9.332932	0.058682	3.226223	-0.045604	-0.009187	0.062201	0.003079	0.004030	-0.003324	-0.815430	-0.246094	-0.704590	0.093330	0.000585	0.032260	0.789519	0.142080	-0.564445	0.194614	0.826542	-71.188000	27.102773
02258		9.273794	0.013502	3.173845	0.002847	-0.034923	-0.010876	0.000590	0.006848	-0.002555	-0.819092	-0.249512	-0.708008	0.092739	0.000134	0.031735	0.789537	0.142088	-0.564425	0.194593	0.835325	-71.185531	27.092974
02259		9.276199	0.044218	3.145283	0.013605	0.005031	-0.017668	0.001349	0.006162	-0.001279	-0.814209	-0.240723	-0.708984	0.092763	0.000441	0.031450	0.789551	0.142099	-0.564408	0.194579	0.842791	-71.183453	27.085327
02260		9.267463	0.019089	3.098260	0.062686	0.002268	-0.041223	-0.000626	0.007001	-0.001532	-0.811768	-0.242676	-0.710205	0.092676	0.000190	0.030979	0.789570	0.142098	-0.564389	0.194558	0.849175	-71.180850	27.077235
02261		9.249662	0.034910	3.093309	0.054471	0.015806	-0.059595	-0.000212	0.000761	0.004597	-0.813477	-0.251221	-0.703369	0.092497	0.000351	0.030933	0.789564	0.142091	-0.564398	0.194559	0.846000	-71.181916	27.079884
02262		9.233370	0.016372	3.093100	0.058122	-0.002950	-0.075169	-0.003782	-0.005855	0.003325	-0.816650	-0.254150	-0.708252	0.092333	0.000166	0.030934	0.789544	0.142079	-0.564436	0.194540	0.842975	-71.186684	27.080050
02263		9.181971	0.029383	3.081516	0.045545	0.006052	-0.127488	-0.010644	-0.015740	0.009975	-0.811279	-0.247803	-0.705078	0.091817	0.000300	0.030822	0.789494	0.142032	-0.564525	0.194522	0.825178	-71.197248	27.091830
02264		9.206736	0.039044	3.032172	0.087153	0.040110	-0.119888	-0.014730	-0.020379	0.009726	-0.817871	-0.240967	-0.704102	0.092064	0.000397	0.030331	0.789433	0.141975	-0.564635	0.194489	0.805777	-71.210414	27.103139
02265		9.264298	-0.013378	3.022370	0.134096	0.006100	-0.068761	-0.013605	-0.020076	0.000533	-0.810303	-0.250244	-0.706787	0.092640	-0.000131	0.030233	0.789382	0.141947	-0.564736	0.194422	0.802260	-71.223384	27.098044
02266		9.315268	0.006754	3.025961	0.134609	0.028723	-0.019233	-0.005415	-0.015367	-0.004587	-0.813965	-0.252930	-0.713135	0.093150	0.000066	0.030267	0.789344	0.141960	-0.564808	0.194360	0.811741	-71.233588	27.083981
02267		9.311642	0.010859	3.048937	0.111782	0.020386	-0.015243	0.003155	-0.003046	-0.007666	-0.817383	-0.249756	-0.712646	0.093116	0.000105	0.030491	0.789337	0.142004	-0.564821	0.194320	0.831257	-71.236733	27.064702
02268		9.329400	-0.004234	3.053996	0.119817	0.006155	0.003128	0.010487	-0.001913	-0.006912	-0.821289	-0.254150	-0.714600	0.093294	-0.000047	0.030541	0.789328	0.142074	-0.564821	0.194304	0.853897	-71.239052	27.046558
02269		9.370060	0.025965	3.005929	0.157669	0.058627	0.026317	0.010754	-0.005186	-0.010232	-0.821045	-0.250977	-0.708008	0.093700	0.000253	0.030062	0.789312	0.142158	-0.564833	0.194273	0.882163	-71.243396	27.022637
02270		9.435749	0.099607	3.005130	0.142599	0.131950	0.088643	0.008131	-0.008686	-0.009205	-0.819092	-0.246094	-0.701416	0.094356	0.000991	0.030055	0.789287	0.142234	-0.564861	0.194239	0.907479	-71.249719	27.000531
02271		9.449891	0.088059	3.033119	0.127878	0.109719	0.111002	0.005109	-0.015230	-0.004601	-0.812500	-0.247803	-0.704102	0.094497	0.000878	0.030338	0.789241	0.142289	-0.564922	0.194207	0.923305	-71.259863	26.986333
02272		9.456405	0.083251	3.108310	0.067693	0.071513	0.141328	0.001271	-0.018577	-0.002550	-0.811279	-0.239990	-0.707520	0.094561	0.000831	0.031092	0.789186	0.142327	-0.565001	0.194172	0.933388	-71.272009	26.975912
02273		9.521259	0.091097	3.140722	0.053587	0.072224	0.213215	-0.004998	-0.021617	0.001549	-0.822021	-0.247559	-0.702637	0.095209	0.000912	0.031417	0.789123	0.142331	-0.565102	0.194131	0.933230	-71.285867	26.972478
02274		9.473557	0.068693	3.234421	-0.029943	0.003105	0.197986	-0.011950	-0.015140	0.002838	-0.818115	-0.247070	-0.710205	0.094733	0.000690	0.032351	0.789083	0.142295	-0.565185	0.194079	0.926238	-71.296046	26.971592
02275		9.403146	0.033254	3.252335	-0.049648	-0.046593	0.136851	-0.013658	-0.001661	0.002072	-0.819824	-0.249268	-0.708252	0.094031	0.000336	0.032524	0.789082	0.142244	-0.565215	0.194031	0.919685	-71.298477	26.969672
02276		9.378789	0.021486	3.300689	-0.091458	-0.081322	0.129229	-0.015631	0.015090	0.004626	-0.809326	-0.246094	-0.706787	0.093790	0.000220	0.033000	0.789128	0.142161	-0.565183	0.193998	0.907077	-71.291288	26.972769
02277		9.314750	-0.053695	3.403408	-0.159391	-0.201181	0.101180	-0.013844	0.026354	0.006665	-0.821533	-0.243652	-0.711914	0.093152	-0.000531	0.034022	0.789202	0.142070	-0.565106	0.193988	0.891903	-71.277711	26.979839
02278		9.242991	-0.089391	3.424937	-0.179095	-0.250837	0.040032	-0.013312	0.035714	0.002836	-0.810547	-0.246094	-0.714111	0.092436	-0.000890	0.034233	0.789307	0.141979	-0.564989	0.193967	0.882923	-71.258628	26.980130
02279		9.179367	-0.099694	3.495152	-0.247997	-0.298073	0.002426	-0.025851	0.050257	-0.001476	-0.808838	-0.254883	-0.706055	0.091802	-0.000993	0.034929	0.789465	0.141839	-0.564824	0.193907	0.874016	-71.231284	26.973317
02280		9.064140	-0.162187	3.465814	-0.222836	-0.354701	-0.116228	-0.027847	0.060370	-0.011421	-0.815430	-0.246094	-0.712158	0.090652	-0.001622	0.034631	0.789664	0.141711	-0.564612	0.193809	0.880709	-71.197838	26.948795
02281		9.058360	-0.157968	3.494501	-0.245672	-0.363024	-0.112263	-0.032191	0.047811	-0.026480	-0.812500	-0.243896	-0.711670	0.090592	-0.001586	0.034924	0.789844	0.141619	-0.564444	0.193631	0.910228	-71.171671	26.897547
02282		9.122943	-0.150165	3.408766	-0.154255	-0.308460	-0.078655	-0.042598	0.047348	-0.039225	-0.810059	-0.246826	-0.705322	0.091237	-0.001512	0.034066	0.790044	0.141520	-0.564280	0.193370	0.954739	-71.145501	26.823609
02283		9.216235	-0.101523	3.347375	-0.093053	-0.225090	-0.009887	-0.057132	0.056077	-0.056291	-0.809082	-0.244141	-0.715820	0.092171	-0.001032	0.033448	0.790293	0.141406	-0.564082	0.193009	1.019422	-71.114278	26.720081
02284		9.204156	-0.088865	3.300967	-0.055794	-0.195537	-0.036215	-0.085834	0.087726	-0.075845	-0.815430	-0.255859	-0.718750	0.092056	-0.000909	0.032970	0.790672	0.141201	-0.563773	0.192510	1.098815	-71.064523	26.583186
