// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B47793
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
14096		4.228583	-2.949991	8.327219	-0.017400	0.049404	-0.018649	0.001781	-0.001052	-0.006357	-0.826416	0.492920	-0.668945	0.042284	-0.029502	0.083272	-0.274783	-0.168879	0.212071	-0.922497	-19.284338	-25.348760	151.201871
14097		4.236648	-2.910211	8.409292	-0.030869	-0.017360	0.042943	0.002661	-0.003625	-0.007671	-0.835449	0.490723	-0.673828	0.042364	-0.029105	0.084093	-0.274773	-0.168889	0.212086	-0.922494	-19.286253	-25.350194	151.203543
14098		4.242220	-2.944083	8.367122	-0.024114	0.030874	0.019466	0.000112	0.001051	-0.006271	-0.825439	0.497314	-0.679688	0.042422	-0.029442	0.083671	-0.274767	-0.168871	0.212107	-0.922495	-19.289375	-25.348628	151.204720
14099		4.183953	-2.938505	8.355529	0.016143	0.006536	-0.017034	0.000327	-0.000616	-0.005667	-0.825684	0.486328	-0.668945	0.041838	-0.029386	0.083555	-0.274762	-0.168860	0.212131	-0.922493	-19.292691	-25.347969	151.205830
14100		4.242958	-2.927237	8.424676	-0.023799	-0.010155	0.063846	0.001659	-0.002429	-0.009502	-0.834473	0.488037	-0.669922	0.042427	-0.029275	0.084247	-0.274766	-0.168863	0.212146	-0.922487	-19.294410	-25.348895	151.205801
14101		4.210269	-2.943608	8.377863	0.002437	0.010548	0.014808	0.003470	0.000936	-0.010173	-0.828613	0.495117	-0.673096	0.042102	-0.029440	0.083778	-0.274802	-0.168851	0.212153	-0.922477	-19.294540	-25.348507	151.201371
14102		4.263478	-2.930070	8.374162	-0.048334	0.025222	0.030390	0.003686	-0.000730	-0.009569	-0.822998	0.491455	-0.670166	0.042633	-0.029304	0.083741	-0.274806	-0.168850	0.212157	-0.922476	-19.294929	-25.348528	151.200946
14103		4.210926	-2.942260	8.378007	0.001060	0.009555	0.014810	0.002448	-0.001960	-0.008275	-0.828369	0.494873	-0.674561	0.042107	-0.029425	0.083780	-0.274803	-0.168852	0.212170	-0.922473	-19.296586	-25.349100	151.201597
14104		4.196689	-2.971729	8.386555	0.031017	0.021431	0.024805	0.003686	-0.000731	-0.009569	-0.826904	0.498779	-0.674805	0.041965	-0.029721	0.083865	-0.274807	-0.168850	0.212174	-0.922471	-19.296974	-25.349121	151.201172
14105		4.249926	-2.958101	8.382864	-0.019766	0.036067	0.040381	0.004925	0.000498	-0.010864	-0.825195	0.500977	-0.669678	0.042498	-0.029585	0.083828	-0.274810	-0.168848	0.212169	-0.922472	-19.296383	-25.348786	151.200728
