// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4778E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
12076		4.216446	1.481163	8.684584	-0.011126	0.015987	-0.045709	0.003803	0.018738	0.001108	-0.446777	0.003418	-0.555908	0.042173	0.014810	0.086842	0.032520	-0.218809	-0.086284	-0.971401	9.786447	-25.512868	-178.385941
12077		4.187960	1.512681	8.694610	0.020934	-0.012270	-0.044224	-0.000123	0.019265	-0.001654	-0.449951	0.005859	-0.540039	0.041888	0.015127	0.086942	0.032510	-0.218756	-0.086288	-0.971413	9.787020	-25.506602	-178.386678
12078		4.206993	1.457797	8.684508	-0.007203	0.039443	-0.053433	0.000269	0.022422	-0.001541	-0.452393	0.002197	-0.545654	0.042080	0.014578	0.086840	0.032501	-0.218689	-0.086294	-0.971428	9.787801	-25.498749	-178.387285
12079		4.231688	1.426649	8.676272	-0.037610	0.068074	-0.054913	0.000494	0.025597	-0.006289	-0.447266	0.008789	-0.543701	0.042328	0.014265	0.086757	0.032471	-0.218606	-0.086304	-0.971447	9.789612	-25.488653	-178.390423
12080		4.189505	1.460247	8.707106	0.015046	0.042153	-0.040484	0.003826	0.025149	-0.006908	-0.450439	-0.001709	-0.542969	0.041906	0.014599	0.087066	0.032441	-0.218523	-0.086332	-0.971464	9.793748	-25.478737	-178.394092
12081		4.167507	1.467028	8.694985	0.028835	0.034619	-0.059687	0.009631	0.024369	-0.005192	-0.444092	0.004150	-0.544434	0.041686	0.014665	0.086945	0.032426	-0.218444	-0.086386	-0.971477	9.800564	-25.469382	-178.396563
12082		4.086298	1.491783	8.643615	0.081486	0.003965	-0.136497	0.008179	0.024565	-0.005620	-0.444336	0.002930	-0.543457	0.040874	0.014913	0.086432	0.032407	-0.218364	-0.086434	-0.971492	9.806873	-25.459921	-178.399487
12083		4.037448	1.551128	8.696373	0.152407	-0.042734	-0.101414	0.007365	0.016657	-0.001042	-0.447754	0.012207	-0.546143	0.040382	0.015508	0.086961	0.032410	-0.218323	-0.086474	-0.971497	9.811618	-25.455213	-178.399797
12084		4.201225	1.484945	8.691312	-0.004470	0.017589	-0.045706	-0.001527	0.006626	0.002752	-0.448730	0.004639	-0.544922	0.042015	0.014851	0.086912	0.032413	-0.218335	-0.086469	-0.971495	9.810948	-25.456697	-178.399423
12085		4.149040	1.449586	8.662088	0.026801	0.048400	-0.099576	0.004039	0.012294	0.002791	-0.444824	0.004395	-0.546631	0.041496	0.014495	0.086619	0.032435	-0.218318	-0.086489	-0.971496	9.812810	-25.454906	-178.397093
